ID,Lat,Lon,h,FA
204,29.18333,25.51667,-14,11.23767
207,29.58333,31.36667,24.6,-3.23646
208,29.5,31.45,27,1.68044
210,29.21667,31.7,194.6,22.04787
211,29.11667,31.76667,337,31.14824
212,29.01667,31.83333,340.4,26.47651
213,28.98333,32.03333,300.7,25.41771
214,28.93333,32.13333,246.8,22.29959
215,28.96667,32.21667,222,16.5265
220,28.95,32.66667,26.8,-9.80708
221,28.81667,32.76667,12.3,-26.35754
222,28.71667,32.83333,1.4,-34.23289
223,28.6,32.85,3.9,-32.74485
224,28.5,32.96667,11.9,-30.48475
234,28.21667,31.83333,445,7.62621
235,28.16667,31.73333,378.1,9.79037
236,28.23333,31.38333,217.6,16.22642
237,28.26667,31.25,192.3,16.80909
238,28.3,31.16667,184.9,22.26377
239,28.36667,31.05,153.9,19.90798
243,28.98333,30.93333,31.7,-2.84569
244,29.15,31.06667,29,5.16938
245,29.31667,31.16667,26,0.83558
246,29.45,31.16667,26.6,4.81531
247,29.61667,31.16667,24.8,3.7196
248,29.81667,31.18333,21.8,-9.31795
251,24.22355,32.87042,92,22.35483
252,24.31084,27.54697,443.58,-8.57874
253,24.27194,32.89042,90.82,18.10485
254,24.40425,27.48926,523.9,-7.51658
255,24.3569,27.51781,506.64,-7.57785
256,24.36504,32.92264,95.3,9.22978
257,24.4504,27.45836,516.33,1.17243
258,24.45116,32.94218,100.56,5.98065
259,24.54387,27.39848,520.83,0.29677
260,24.54315,32.94656,96.98,4.23072
262,24.70075,27.29888,514.92,-13.39076
264,24.80263,27.26526,484.06,-21.20232
265,24.8153,30.57649,28.06,-11.82956
266,24.81432,32.91271,87.73,33.91902
267,24.76723,32.93235,87.12,40.04428
268,24.90797,27.23356,503.51,-19.51466
269,24.85574,27.24931,492.43,-20.01524
270,24.88147,27.97384,394.74,-10.01503
271,24.86383,30.56425,39.23,-5.8292
272,24.87857,30.70835,88.02,-1.32894
273,24.90314,30.89895,163.09,12.92124
276,24.98287,25.60523,527.02,-12.70071
277,24.94277,27.22306,497.36,-20.26477
278,24.96789,27.94529,385.26,-6.20197
280,24.92249,30.79304,123.95,5.6707
284,25.03624,25.59521,505.02,-15.45022
285,25.03002,27.19662,486.55,-25.51474
286,25.07157,27.91097,369.67,-18.07695
287,25.01974,27.92769,334.49,-13.70185
288,25.05202,30.55576,37.84,-6.70349
291,25.03583,32.87998,89.63,0.54507
292,25.14301,25.57793,495.66,-20.263
293,25.08961,25.58516,492.07,-20.88842
294,25.13449,27.16513,492.12,-29.32597
295,25.1235,27.89407,394.62,-19.88971
296,25.12004,30.54044,35.06,-2.14105
300,25.16011,32.7382,82.51,8.3575
301,25.12802,32.78761,83.86,8.23179
302,25.08831,32.83965,85.24,11.66989
303,25.23661,25.56469,463.27,-24.69996
304,25.22156,27.13894,457.83,-30.45042
305,25.2274,27.86047,365.03,-23.51403
306,25.23785,29.68969,165.19,-20.26548
307,25.20517,29.80134,166.29,-9.70283
308,25.21677,29.85913,168.52,-2.76582
309,25.22793,29.972,191.23,1.42254
310,25.22583,30.03125,198.62,4.35935
311,25.19593,30.53143,31.29,1.35847
